branch,occupied_headcount,current_retirement_eligible,near_term_retirement_risk,authorized_positions,vacant_positions,vacancy_rate,vacant_authorized_payroll,actual_payroll,retirement_risk_rate,payroll_exposure_share,retirement_risk_rate_score,vacancy_rate_score,payroll_exposure_share_score,overall_risk_score,branch_display,branch_chart_label
 -,32,28,0.0,39,7,17.95,793218,4046844,87.5,11.3126864607082,93.08510638297872,96.92224622030238,67.5634402085582,89.3237720911579,Central offices / non-branch,Central offices
Branch F,50,37,10.0,55,5,9.09,546254,5497851,94.0,15.368881175229646,100.0,49.08207343412527,91.78849674315637,80.53642505057512,Branch F,Branch F
Branch D,49,24,10.0,54,5,9.26,485430,5402657,69.38775510204081,15.102772603972475,73.81676074685193,50.0,90.1992004601236,68.75738242810809,Branch D,Branch D
Branch B,44,12,3.0,54,10,18.52,1071610,4443897,34.090909090909086,12.422622029582014,36.266924564796895,100.0,74.19237540475768,66.15859113511014,Branch B,Branch B
Branch E,54,29,11.0,55,1,1.82,99128,5989695,74.07407407407408,16.743798755344066,78.80220646178093,9.82721382289417,100.0,58.900517745814376,Branch E,Branch E
Branch C,50,15,9.0,54,4,7.41,372660,5292823,48.0,14.795738874793532,51.06382978723404,40.01079913606912,88.3654843860998,54.65559997909946,Branch C,Branch C
Branch A,50,1,5.0,55,5,9.09,474259,5098850,12.0,14.253500100370067,12.76595744680851,49.08207343412527,85.12703902285507,39.948814357578684,Branch A,Branch A
